area_id,ocd_id,name,country,state,city,district_type,parent_area_id
93,ocd-division/country:mx/state:df/fed:21,Diputación del Distrito Federal 21 de CIUDAD DE MÉXICO,MX,CMX,"XOCHIMILCO, MILPA ALTA",2,-1,
94,ocd-division/country:mx/state:df/fed:22,Diputación del Distrito Federal 22 de CIUDAD DE MÉXICO,MX,CMX,IZTAPALAPA,2,-1,
95,ocd-division/country:mx/state:df/fed:23,Diputación del Distrito Federal 23 de CIUDAD DE MÉXICO,MX,CMX,COYOACAN,2,-1,
96,ocd-division/country:mx/state:df/fed:24,Diputación del Distrito Federal 24 de CIUDAD DE MÉXICO,MX,CMX,"COYOACAN, XOCHIMILCO",2,-1,
97,ocd-division/country:mx/state:df/fed:3,Diputación del Distrito Federal 3 de CIUDAD DE MÉXICO,MX,CMX,AZCAPOTZALCO,2,-1,
98,ocd-division/country:mx/state:df/fed:4,Diputación del Distrito Federal 4 de CIUDAD DE MÉXICO,MX,CMX,IZTAPALAPA,2,-1,
99,ocd-division/country:mx/state:df/fed:5,Diputación del Distrito Federal 5 de CIUDAD DE MÉXICO,MX,CMX,TLALPAN,2,-1,
100,ocd-division/country:mx/state:df/fed:6,Diputación del Distrito Federal 6 de CIUDAD DE MÉXICO,MX,CMX,"LA MAGDALENA CONTRERAS, ALVARO OBREGON",2,-1,
101,ocd-division/country:mx/state:df/fed:7,Diputación del Distrito Federal 7 de CIUDAD DE MÉXICO,MX,CMX,GUSTAVO A. MADERO,2,-1,
102,ocd-division/country:mx/state:df/fed:8,Diputación del Distrito Federal 8 de CIUDAD DE MÉXICO,MX,CMX,"CUAUHTEMOC, VENUSTIANO CARRANZA",2,-1,
103,ocd-division/country:mx/state:df/fed:9,Diputación del Distrito Federal 9 de CIUDAD DE MÉXICO,MX,CMX,TLAHUAC,2,-1,
104,ocd-division/country:mx/state:dg,Gubernatura de DURANGO,MX,DUR,,1,-1,
105,ocd-division/country:mx/state:dg/fed:1,Diputación del Distrito Federal 1 de DURANGO,MX,DUR,"CANELAS, DURANGO, MEZQUITAL, OTAEZ, PUEBLO NUEVO, SAN DIMAS, SANTIAGO PAPASQUIARO, SUCHIL, TAMAZULA, TEPEHUANES, TOPIA, VICENTE GUERRERO",2,-1,
